"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_WT8","baseMean_WT2","mgi_symbol","chromosome_name"
"ENSMUSG00000038593",259.280632076971,1.09136565611471,0.22592629147904,4.83062705526665,1.36103729563409e-06,7.18549546412752e-06,328.499049277039,150.560564260944,"Tctn1","5"
"ENSMUSG00000048756",2892.59488278864,0.779540838913493,0.161399468858449,4.82988478479547,1.36612075499134e-06,7.21003335964977e-06,2385.24036951764,1371.82043126282,"Foxo3","10"
"ENSMUSG00000028864",608.637169432831,-1.92606025068272,0.398795845538166,-4.82968985818683,1.36745873938539e-06,7.21479426062085e-06,175.749673922142,787.245333415645,"Hgf","5"
"ENSMUSG00000057346",784.703216383418,2.2792648310279,0.472008913763718,4.82885971973164,1.3731709698634e-06,7.24262355710937e-06,2090.29385547744,490.407613318342,"Apol9b","15"
"ENSMUSG00000029633",2945.58388581648,0.494929635768185,0.102503723614202,4.82840640629771,1.37629992548648e-06,7.25681429331851e-06,3956.95213458616,2862.02772326481,"Gm5578","6"
"ENSMUSG00000063047",211.091450581468,1.0664060463675,0.220939110153076,4.82669657548928,1.38816370057244e-06,7.31703739113836e-06,266.924311483621,127.566096275031,"Zfp780b","7"
"ENSMUSG00000071285",461.106810094459,1.31241495198432,0.271934714872207,4.82621335271988,1.39153435915581e-06,7.33246901572361e-06,646.443839608227,266.147535497267,"Zfp87","13"
"ENSMUSG00000016833",1159.76434433252,0.689488528472746,0.142886672499037,4.82542224837235,1.39706960323765e-06,7.35896888001478e-06,1576.39056248686,970.35131397008,"Mrps18c","5"
"ENSMUSG00000056758",575.468794758161,-1.66763767375205,0.345598057629446,-4.82536761112271,1.39745267294341e-06,7.35896888001478e-06,495.853754869748,1595.04360908498,"Hmga2","10"
"ENSMUSG00000031669",89.8227233472022,1.90191240722541,0.394199872463291,4.82474130531973,1.40185101552117e-06,7.37978249296782e-06,140.495702035348,33.7026997023277,"Gins3","8"
"ENSMUSG00000030145",59.2759764408638,1.66082238834836,0.344348082350602,4.82309173035374,1.41349924396008e-06,7.43873640279277e-06,51.0009164540606,16.4828099441767,"Zfp248","6"
"ENSMUSG00000069273",368.584974674718,-1.83682768386859,0.380845411422315,-4.82302695208728,1.41395856006634e-06,7.43878834318438e-06,182.679448507887,573.071214833148,"Hist1h3e","13"
"ENSMUSG00000026869",1356.92942689348,0.719180718579808,0.149146283383673,4.82198216585621,1.42138656574421e-06,7.47549064176438e-06,1634.23985659253,1009.94104272911,"Psmd5","2"
"ENSMUSG00000038540",165.176284132501,3.82690317044763,0.793784159180402,4.82108785642559,1.42777453597675e-06,7.50670150729071e-06,699.276629750471,60.6573582941851,"Tmc3","7"
"ENSMUSG00000008859",2908.26863271215,0.61022938904414,0.126584281434182,4.82073589335365,1.43029613857031e-06,7.51757109859551e-06,4320.67737729721,2842.67300627494,"Rala","13"
"ENSMUSG00000079002",149.548318941206,-1.23414637380451,0.256018399458594,-4.82053780671381,1.43171719229024e-06,7.52265119034788e-06,47.9718422692548,120.846714900039,"C030006K11Rik","15"
"ENSMUSG00000024981",8909.6837956236,1.34502373816587,0.27902387034074,4.82046119037539,1.43226719425601e-06,7.52315275535742e-06,17918.2404912272,7505.53035189511,"Acsl5","19"
"ENSMUSG00000033020",602.134372683233,-0.600357797776731,0.124599199830425,-4.81831182378213,1.44777980861171e-06,7.60222195822728e-06,449.939180182011,684.955237923141,"Polr2f","15"
"ENSMUSG00000020077",22138.2113181127,1.06357244285577,0.220763941299043,4.81769095350164,1.45229080367768e-06,7.62349035574669e-06,30486.1856923343,14283.4468197316,"Srgn","10"
"ENSMUSG00000040276",195.353598094293,4.78656736259403,0.993678936504247,4.81701602675924,1.45720988199271e-06,7.64596526625951e-06,55.329095081624,2.43758722407301,"Pacsin1","17"
"ENSMUSG00000053754",3474.8752900411,0.656568773749533,0.136303079835468,4.81697680303395,1.45749624887008e-06,7.64596526625951e-06,5227.95705063927,3257.94756943738,"Chd8","14"
